Designator,Mid X,Mid Y,Layer,Rotation
#,88.5,24,Top,90
+,88.5,42,Top,90
-,81.5,42,Top,90
/,81.5,15,Top,90
0,74.5,42,Top,90
1,11.5,42,Top,90
2,18.5,42,Top,90
3,25.5,42,Top,90
4,32.5,42,Top,90
5,39.5,42,Top,90
6,46.5,42,Top,90
7,53.5,42,Top,90
8,60.5,42,Top,90
9,67.5,42,Top,90
A,11.5,24,Top,90
APOS,81.5,24,Top,90
B,46.5,15,Top,90
BACKSLASH,11.5,15,Top,90
BCKSPC,95.5,42,Top,90
BRAC[,81.5,33,Top,90
BRAC],88.5,33,Top,90
C,32.5,15,Top,90
CAPS,4.5,24,Top,90
COLON,74.5,24,Top,90
COMMA,67.5,15,Top,90
D,25.5,24,Top,90
DOWN,88.5,6,Top,90
E,25.5,33,Top,90
ENTER,95.5,28.5,Top,90
ESC,4.5,42,Top,90
F,32.5,24,Top,90
FN,11.5,6,Top,90
G,39.5,24,Top,90
H,46.5,24,Top,90
I,60.5,33,Top,90
J,53.5,24,Top,90
K,60.5,24,Top,90
L,67.5,24,Top,90
LALT,25.5,6,Top,90
LCTRL,4.5,6,Top,90
LEFT,81.5,6,Top,90
LSHIFT,4.5,15,Top,90
M,60.5,15,Top,90
MENU,67.5,6,Top,90
N,53.5,15,Top,90
O,67.5,33,Top,90
P,74.5,33,Top,90
Q,11.5,33,Top,90
R,32.5,33,Top,90
RALT,60.5,6,Top,90
RCTRL,74.5,6,Top,90
RIGHT,95.5,6,Top,90
RSHIFT,95.5,15,Top,90
S,18.5,24,Top,90
SPACEA,36,6,Top,90
SPACEB,50,6,Top,90
STOP,74.5,15,Top,90
T,39.5,33,Top,90
TAB,4.5,33,Top,90
U,53.5,33,Top,90
UP,88.5,15,Top,90
V,39.5,15,Top,90
W,18.5,33,Top,90
WIN,18.5,6,Top,90
X,25.5,15,Top,90
Y,46.5,33,Top,90
Z,18.5,15,Top,90
